Variable,Description,Question Sample,Data Type,Notes
fu1-inv_philanfrom_otherinds,Refer to the definition of inv_philanfrom_otherinds,,,
fu1-inv_philanfrom_anothersource,Refer to the definition of inv_philanfrom_anothersource,,,
fu1-inv_philan_m1,Refer to the definition of inv_philan_m1,,,
fu1-inv_plans_outequity_12months,Refer to the definition of inv_plans_outequity_12months,,,
fu1-inv_plans_debt_12months,Refer to the definition of inv_plans_debt_12months,,,
fu1-inv_plans_philan_12months,Refer to the definition of inv_plans_philan_12months,,,
fu1-inv_plans_outequity_3years,Refer to the definition of inv_plans_outequity_3years,,,
fu1-inv_plans_debt_3years,Refer to the definition of inv_plans_debt_3years,,,
fu1-inv_plans_philan_3years,Refer to the definition of inv_plans_philan_3years,,,
fu1-impact_area_water,Refer to the definition of impact_area_water,,,
fu1-impact_area_educ,Refer to the definition of impact_area_educ,,,
fu1-impact_area_energy,Refer to the definition of impact_area_energy,,,
fu1-impact_area_finsrv,Refer to the definition of impact_area_finsrv,,,
fu1-impact_area_information,Refer to the definition of impact_area_information,,,
fu1-impact_area_housing,Refer to the definition of impact_area_housing,,,
fu1-impact_area_agprod,Refer to the definition of impact_area_agprod,,,
fu1-impact_area_biodiv,Refer to the definition of impact_area_biodiv,,,
fu1-impact_area_capacity,Refer to the definition of impact_area_capacity,,,
fu1-impact_area_commdev,Refer to the definition of impact_area_commdev,,,
fu1-impact_area_conflres,Refer to the definition of impact_area_conflres,,,
fu1-impact_area_disease,Refer to the definition of impact_area_disease,,,
fu1-impact_area_employ,Refer to the definition of impact_area_employ,,,
fu1-impact_area_fueleff,Refer to the definition of impact_area_fueleff,,,
fu1-impact_area_equality,Refer to the definition of impact_area_equality,,,
fu1-impact_area_food,Refer to the definition of impact_area_food,,,
fu1-impact_area_charity,Refer to the definition of impact_area_charity,,,
fu1-impact_area_health,Refer to the definition of impact_area_health,,,
fu1-impact_area_humrights,Refer to the definition of impact_area_humrights,,,
fu1-impact_area_incgrowth,Refer to the definition of impact_area_incgrowth,,,
fu1-impact_area_natresources,Refer to the definition of impact_area_natresources,,,
fu1-impact_area_natbio,Refer to the definition of impact_area_natbio,,,
fu1-impact_area_wastemgt,Refer to the definition of impact_area_wastemgt,,,
fu1-impact_area_efficiency,Refer to the definition of impact_area_efficiency,,,
fu1-impact_area_sustenergy,Refer to the definition of impact_area_sustenergy,,,
fu1-impact_area_landuse,Refer to the definition of impact_area_landuse,,,
